"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"DNK",2015,1,"fix",0.7,0.3,0.143859649122807
"EST",2015,1,"fix",0.528,0.472,0.900885780885781
"ESP",2015,1,"fix",0.759,0.241,1.03888888888889
"GEO",2015,1,"fix",0.774,0.226,0.242261904761905
"GRC",2015,1,"fix",0.5,0.5,2.71602564102564
"HRV",2015,1,"fix",0.63,0.37,1.68333333333333
"HUN",2015,1,"fix",0.75,0.25,0.8
"IRL",2015,1,"fix",0.868,0.132,0.321428571428571
"ISR",2015,1,"fix",0.83,0.17,0.352564102564103
"ITA",2015,1,"fix",0.667,0.333,0.383333333333333
"KGZ",2015,1,"fix",0.656,0.344,0.501954887218045
"LTU",2015,1,"fix",0.887,0.113,0.282127659574468
"LUX",2015,1,"fix",0.69,0.31,0.916666666666667
"LVA",2015,1,"fix",0.724,0.276,1.175
"MAR",2015,1,"fix",0.827,0.173,0.142142857142857
"MDA",2015,1,"fix",0.943,0.0570000000000001,0.1
"MLT",2015,1,"fix",0.957,0.043,0.8
"NLD",2015,1,"fix",0.472,0.528,1.26348484848485
"NOR",2015,1,"fix",0.483,0.517,2.84102564102564
"POL",2015,1,"fix",0.532,0.468,0.350961538461538
"PRT",2015,1,"fix",0.83,0.17,1.85
"ROU",2015,1,"fix",0.917,0.083,0.25
"SRB",2015,1,"fix",0.696,0.304,0.176190476190476
"SVN",2015,1,"fix",0.849,0.151,0.6925
"SVK",2015,1,"fix",0.712,0.288,2.186
"TUR",2015,1,"fix",0.625,0.375,0.333630952380952
"USA",2015,1,"fix",0.774,0.226,0.318986928104575
"ARM",2016,1,"fix",0.692,0.308,2.6027027027027
"AUT",2016,1,"fix",0.529,0.471,0.67
"BEL",2016,1,"fix",0.904,0.096,0.416666666666667
"CHE",2016,1,"fix",0.827,0.173,0.333333333333333
"CZE",2016,1,"fix",0.808,0.192,0.29047619047619
"DNK",2016,1,"fix",0.786,0.214,0.247549019607843
"EST",2016,1,"fix",0.615,0.385,0.715497076023392
"ESP",2016,1,"fix",0.536,0.464,0.568333333333333
"GEO",2016,1,"fix",0.717,0.283,0.0520833333333333
"GRC",2016,1,"fix",0.733,0.267,0.3
"HRV",2016,1,"fix",0.857,0.143,0.0666666666666667
"HUN",2016,1,"fix",0.75,0.25,0.305
"IRL",2016,1,"fix",0.827,0.173,0.21
"ISR",2016,1,"fix",0.885,0.115,0.35
"ITA",2016,1,"fix",0.5,0.5,0.598333333333333
"KGZ",2016,1,"fix",0.48,0.52,2.08787878787879
"LTU",2016,1,"fix",0.904,0.096,0.3
"LUX",2016,1,"fix",0.643,0.357,0.57921568627451
"LVA",2016,1,"fix",0.821,0.179,0.4
"MAR",2016,1,"fix",0.894,0.106,0.125470085470085
"MDA",2016,1,"fix",1,0,0
"MLT",2016,1,"fix",0.815,0.185,0.179545454545455
