"Country","Year","Week_ahead","Model","Accuracy","MZE","macroMAE"
"TUR",2015,4,"rolling",0.5,0.5,0.574107142857143
"USA",2015,4,"rolling",0.679,0.321,0.446862745098039
"ARM",2016,4,"rolling",0.673,0.327,2.60540540540541
"AUT",2016,4,"rolling",0.059,0.941,1.21333333333333
"BEL",2016,4,"rolling",0.827,0.173,0.935714285714286
"CHE",2016,4,"rolling",0.75,0.25,0.527777777777778
"CZE",2016,4,"rolling",0.75,0.25,0.633333333333333
"DNK",2016,4,"rolling",0.643,0.357,0.534313725490196
"EST",2016,4,"rolling",0.519,0.481,2.31842105263158
"ESP",2016,4,"rolling",0.464,0.536,1.00166666666667
"GEO",2016,4,"rolling",0.63,0.37,0.0808333333333333
"GRC",2016,4,"rolling",0.6,0.4,0.344444444444444
"HRV",2016,4,"rolling",0.643,0.357,0.421052631578947
"HUN",2016,4,"rolling",0.714,0.286,0.65
"IRL",2016,4,"rolling",0.731,0.269,0.5
"ISR",2016,4,"rolling",0.788,0.212,1.4275641025641
"ITA",2016,4,"rolling",0.273,0.727,1.045
"KGZ",2016,4,"rolling",0.32,0.68,2.12424242424242
"LTU",2016,4,"rolling",0.808,0.192,0.908888888888889
"LUX",2016,4,"rolling",0.571,0.429,0.91921568627451
"LVA",2016,4,"rolling",0.75,0.25,0.513333333333333
"MAR",2016,4,"rolling",0.723,0.277,0.170940170940171
"MDA",2016,4,"rolling",1,0,0
"MLT",2016,4,"rolling",0.815,0.185,0.279545454545455
"NLD",2016,4,"rolling",0.442,0.558,1.66496212121212
"NOR",2016,4,"rolling",0.357,0.643,0.797142857142857
"POL",2016,4,"rolling",0.609,0.391,0.66520202020202
"PRT",2016,4,"rolling",0.712,0.288,1.05
"ROU",2016,4,"rolling",0.865,0.135,0.104347826086957
"SRB",2016,4,"rolling",0.625,0.375,0.898571428571429
"SVN",2016,4,"rolling",0.827,0.173,0.513043478260869
"SVK",2016,4,"rolling",0.756,0.244,0.183458646616541
"TUR",2016,4,"rolling",0.2,0.8,0.55
"USA",2016,4,"rolling",0.577,0.423,0.703269230769231
"ARM",2017,4,"rolling",0.731,0.269,0.58034188034188
"AUT",2017,4,"rolling",0.227,0.773,1.67916666666667
"BEL",2017,4,"rolling",0.714,0.286,1.29642857142857
"CHE",2017,4,"rolling",0.75,0.25,1.26666666666667
"CZE",2017,4,"rolling",0.769,0.231,2.01190476190476
"DNK",2017,4,"rolling",0.679,0.321,0.171052631578947
"EST",2017,4,"rolling",0.519,0.481,0.992633053221289
"ESP",2017,4,"rolling",0.607,0.393,0.955555555555555
"GEO",2017,4,"rolling",0.739,0.261,0.0266666666666667
"GRC",2017,4,"rolling",0.635,0.365,1.395
"HRV",2017,4,"rolling",0.538,0.462,2.88888888888889
"HUN",2017,4,"rolling",0.571,0.429,2.91578947368421
"IRL",2017,4,"rolling",0.808,0.192,0.471111111111111
"ISR",2017,4,"rolling",0.788,0.212,0.759523809523809
"ITA",2017,4,"rolling",0.435,0.565,1.12333333333333
"KGZ",2017,4,"rolling",0.417,0.583,0.157142857142857
"LTU",2017,4,"rolling",0.886,0.114,0.9
"LUX",2017,4,"rolling",0.679,0.321,0.633333333333333
"LVA",2017,4,"rolling",0.536,0.464,1.61176470588235
"MAR",2017,4,"rolling",0.654,0.346,0.287091503267974
"MDA",2017,4,"rolling",1,0,0
"MLT",2017,4,"rolling",0.607,0.393,0.601503759398496
"NLD",2017,4,"rolling",0.519,0.481,0.928846153846154
"NOR",2017,4,"rolling",0.357,0.643,1.39047619047619
"POL",2017,4,"rolling",0.5,0.5,2.22707792207792
"PRT",2017,4,"rolling",0.827,0.173,0.303623188405797
"ROU",2017,4,"rolling",1,0,0
"SRB",2017,4,"rolling",0.318,0.682,1.72857142857143
"SVN",2017,4,"rolling",0.769,0.231,2.21818181818182
"SVK",2017,4,"rolling",0.712,0.288,1.74259259259259
"TUR",2017,4,"rolling",0.529,0.471,2.09282828282828
"USA",2017,4,"rolling",0.596,0.404,1.49077380952381
"ARM",2015,1,"fix",0.829,0.171,0.0945378151260504
"AUT",2015,1,"fix",0.312,0.688,0.4
"BEL",2015,1,"fix",0.83,0.17,1.46666666666667
"CHE",2015,1,"fix",0.887,0.113,0.783333333333333
"CZE",2015,1,"fix",0.811,0.189,1.175
"DNK",2015,1,"fix",0.633,0.367,0.165789473684211
"EST",2015,1,"fix",0.491,0.509,0.822552447552447
"ESP",2015,1,"fix",0.759,0.241,1.05555555555556
"GEO",2015,1,"fix",0.755,0.245,0.145833333333333
"GRC",2015,1,"fix",0.441,0.559,2.78333333333333
"HRV",2015,1,"fix",0.667,0.333,1.83333333333333
"HUN",2015,1,"fix",0.792,0.208,0.75
"IRL",2015,1,"fix",0.887,0.113,0.307142857142857
"ISR",2015,1,"fix",0.811,0.189,0.702564102564103
"ITA",2015,1,"fix",0.625,0.375,0.483333333333333
"KGZ",2015,1,"fix",0.625,0.375,0.523458646616541
"LTU",2015,1,"fix",0.906,0.094,0.28
"LUX",2015,1,"fix",0.69,0.31,0.966666666666667
"LVA",2015,1,"fix",0.724,0.276,1.475
"MAR",2015,1,"fix",0.865,0.135,0.144285714285714
"MDA",2015,1,"fix",0.943,0.0570000000000001,0.1
"MLT",2015,1,"fix",0.957,0.043,0.8
"NLD",2015,1,"fix",0.491,0.509,1.25848484848485
"NOR",2015,1,"fix",0.414,0.586,3.15576923076923
"POL",2015,1,"fix",0.511,0.489,0.359679487179487
"PRT",2015,1,"fix",0.83,0.17,2
"ROU",2015,1,"fix",0.833,0.167,0.602439024390244
"SRB",2015,1,"fix",0.609,0.391,0.196190476190476
"SVN",2015,1,"fix",0.811,0.189,0.7025
"SVK",2015,1,"fix",0.75,0.25,1.63422222222222
"TUR",2015,1,"fix",0.6,0.4,0.383630952380952
"USA",2015,1,"fix",0.736,0.264,0.444542483660131
"ARM",2016,1,"fix",0.712,0.288,2.58841698841699
"AUT",2016,1,"fix",0.471,0.529,0.77
"BEL",2016,1,"fix",0.865,0.135,0.485714285714286
"CHE",2016,1,"fix",0.827,0.173,0.258333333333333
"CZE",2016,1,"fix",0.827,0.173,0.317857142857143
"DNK",2016,1,"fix",0.75,0.25,0.397549019607843
"EST",2016,1,"fix",0.654,0.346,0.679093567251462
"ESP",2016,1,"fix",0.5,0.5,0.675
"GEO",2016,1,"fix",0.717,0.283,0.0520833333333333
"GRC",2016,1,"fix",0.733,0.267,0.3
"HRV",2016,1,"fix",0.786,0.214,0.183333333333333
"HUN",2016,1,"fix",0.714,0.286,0.355
"IRL",2016,1,"fix",0.808,0.192,0.255
"ISR",2016,1,"fix",0.865,0.135,0.383333333333333
"ITA",2016,1,"fix",0.5,0.5,0.591666666666667
"KGZ",2016,1,"fix",0.4,0.6,1.80606060606061
"LTU",2016,1,"fix",0.885,0.115,0.45
"LUX",2016,1,"fix",0.679,0.321,0.57921568627451
